,Date,Low,High,Close,Open
632,2014-11-21,73.5,74.5,73.75,74.5
633,2014-11-24,73.35,74.35,74.01,73.54
634,2014-11-25,74.13,75.74,75.63,74.21
635,2014-11-26,75.51,77.78,77.62,75.53
636,2014-11-28,77.23,78.27,77.7,77.67
637,2014-12-01,74.8,77.31,75.1,77.26
638,2014-12-02,75.04,75.91,75.46,75.33
639,2014-12-03,74.4,75.73,74.88,75.38
640,2014-12-04,74.66,75.55,75.24,74.83
641,2014-12-05,75.36,76.76,76.36,75.8
642,2014-12-08,75.4,77.25,76.52,76.18
643,2014-12-09,74.78,76.93,76.84,75.2
644,2014-12-10,76.07,77.55,76.18,76.65
645,2014-12-11,76.48,78.52,77.73,76.52
646,2014-12-12,77.02,78.88,77.83,77.16
647,2014-12-15,76.56,78.58,76.99,78.46
648,2014-12-16,74.59,77.39,74.69,76.19
649,2014-12-17,74.9,76.41,76.11,75.01
650,2014-12-18,76.51,78.4,78.4,76.89
651,2014-12-19,78.33,80.0,79.88,78.75
652,2014-12-22,80.0,81.89,81.45,80.08
653,2014-12-23,80.4,82.17,80.61,82.02
654,2014-12-24,80.75,81.43,80.77,81.03
655,2014-12-26,80.51,81.28,80.775,81.02
656,2014-12-29,79.71,80.96,80.02,80.49
657,2014-12-30,79.1,80.59,79.22,79.85
658,2014-12-31,77.86,79.8,78.02,79.54
659,2015-01-02,77.7,78.93,78.45,78.58
660,2015-01-05,76.86,79.2455,77.19,77.98
661,2015-01-06,75.365,77.59,76.15,77.23
662,2015-01-07,75.82,77.36,76.15,76.76
663,2015-01-08,76.08,78.23,78.175,76.74
664,2015-01-09,77.2,78.62,77.74,78.2
665,2015-01-12,76.21,78.0,76.72,77.84
666,2015-01-13,75.85,78.08,76.45,77.23
667,2015-01-14,76.0291,77.2,76.28,76.42
668,2015-01-15,73.54,76.57,74.05,76.4
669,2015-01-16,73.84,75.32,75.18,74.04
670,2015-01-20,74.82,76.31,76.24,75.72
671,2015-01-21,75.85,77.3,76.74,76.16
672,2015-01-22,76.68,77.75,77.65,77.17
673,2015-01-23,77.04,78.19,77.83,77.65
674,2015-01-26,77.29,78.47,77.495,77.98
675,2015-01-27,75.63,76.88,75.78,76.71
676,2015-01-28,76.0,77.638,76.24,76.9
677,2015-01-29,74.21,78.02,78.0,76.85
678,2015-01-30,75.75,78.16,75.91,78.0
679,2015-02-02,73.75,76.14,74.99,76.11
